sentence	E	alpha	beta	gamma	delta	epsilon	zeta	eta	theta	natorcong
Ɂɔp ə keːr ɦɛt ˈnoːrdəvənt ɛn sɔn strəi xəˈkrəi Ɂoːr vi fɑn ɦœlə nœu ˈɁəintlək di ˈstɛrkstə vɑs nɛt tu kɔm daːr ə ˈrəisəxər fərˈbəi xəˈɦœl ən ə ˈlɛkər ˈvɑrəm ˈmɑntəl ˈɦœlə bəˈslœyt tu dɑt di Ɂeːn vɑt dət kɑn ˈrɛxkrəi Ɂɔm di ˈrəisəxər tə dvəŋ Ɂɔm səi ˈmɑntəl Ɂɑf tə ɦaːl di ˈstɛrkstə əs tu blaːs di vənt ˈyːrə lɑŋk fər ˈɁɑl vɑt ɦəi vɛrt əs maːr ɦu ˈɦɑrdər ɦəi blaːs ɦu ˈdəxtər ɦœl di ˈrəisəxər di ˈmɑntəl Ɂɔm ɦɔm Ɂɛn tɛn ˈlɑːstə laːt ˈnoːrdəvənt Ɂɑl səi ˈrøːsə ˈpoːxəŋs faːr tu skəin sɔn ˈlɛkər ˈvɑrəm Ɂɛn ˈdaːdələk trɛk di ˈrəisəxər səi ˈmɑntəl Ɂœyːt Ɂɛn soː mus ˈnoːrdəvənt Ɂɛrˈkɛn dɑt sɔn di ˈstɛrkstə fɑn ˈɦœlə tveː vɑs	-258.0835614199467	3.717948717948718	8.547008547008547e-2	3.2278596108383344e-2	0.5908045977011495	2	0		0	0.47593582887700536	1
avis açvaːska avis kahja vr̩naː na aːst açvans spaçat ainam garum vagʱam vagʱantam ainamka magʱam bʱaram ainamka gʱamanam aːçu bʱarantam avis nu açvabʱjas avaukat gʱr̩d agʱnutai mai açvans aɟantam vʃram vidanti açvaːs tu avaukant srudʱi avi gʱr̩d agʱnutai asmai vidantbʱjas nar patis avjamr̩ vr̩naːm svabʱi gʱarmam vastram kr̩nauti avjamka vr̩naː na asti tat sasruvas avis aɟram abʱugat	99.3743659489385	5.2631578947368425	0.17543859649122806	0.1008267795926598	0.5833333333333334	1	0		0	0.5387931034482759	1
owis ikʷoiqe owis qeho laːnaː ne eːst ikʷos speket enon barun wokʰon wekʰontã enonqe megaːn pʰoron enonqe kʰtʰonon oːku pʰerontã owis nu ikʷobos eweweqet kard akʰnutoi moi ikʷos agontã wiron widãtei ikʷoi tu eweweqont klutʰi owi kart agnutoi ahma widãtbios aner potsis owjonar laːnaːn sepʰi tʰermon westron qerneuti owjonqe laːnaː ne esti tot kekluwos owis agron epʰuget	99.45539836129066	4.982456140350878	5.263157894736842e-2	2.9038112522686024e-2	0.5492957746478874	1	0		0	0.6009389671361502	1
owi jukweɲke owi kuse wlana ne es jukwes ɕpɨkɨt enem karɨm wakm̩ wɨkantɨm enemke mɨkam parm enemke tkamnam akɨ pɨrantɨm owi nɨ jukwebos wɨwkɨt kɨrt agnɨtai me jukwes akantɨn wirem witsante jukweɲ tɨ wɨwkant kluti ow kɨrt aknete ansme witɨntbe nɨr pats owjapɨr wlanam sɨpi sɨrmam wɨstram kɨrnoiti owjapke wlana nɨ esti tɨ kɨklewe owi akre bekɨt	99.4458664672492	5.017543859649122	0.10526315789473684	8.892921960072595e-2	0.5909090909090909	1	0		0	0.5176991150442478	1
bagu ʕai̯ru̯da bagu ma hai̯i t͡ʃaʕara i̯araˀi̯ ʕai̯ar i̯ak’ul tu t͡ʃai̯ˀa k’wuriː i̯aʒub tu k’ama gadiː tu nasa pidiʃ i̯akau̯ˀ bagu ʕai̯ar i̯adum ani libbu raˀi̯i i̯ahim nasu ʕai̯ar i̯akau̯ˀu̯ ʕai̯ru̯ gur baga i̯adum nu̯ libbu raˀi̯i i̯apal nasu ˀadu kuru̯ t͡ʃaʕarbagi kicu̯a sirfiː ma i̯ahai̯ bagu t͡ʃaʕariː ta kina i̯abuk’ bagu ʔaqa	99.59263446355729	4.39622641509434	9.433962264150944e-2	3.977062523122457e-2	0.44635193133047213	1	0		0	0.821656050955414	1
ardi s̻aldiaga ardi es̻ edun ilei ekus̺ s̻aldiagai hau ebil gurdi as̺tun hau ekarr handi s̻ati hau ekarr gis̻on las̺ter ardi enau s̻aldiagai nien bihot̪s̻min ekus̺en gis̻oni ehot̺s̺ s̻aldiagai s̻aldiaga enau berarr ardi guen bihot̪s̻min ekus̺en gis̻on andot̺s̺ ardiagan ilega beregin belo ant̪s̻i s̻aldiaga es̻ edu ilei ardi eberarri honi eut̪s̻ larrei	99.3842923180185	5.230769230769231	0.0	0.0	0.5110294117647058	1	0		0	0.6963350785340314	1
akne tʰemnarc akne an lanes ein amai tʰemnar tefai ikani bam cukie afke ikani vel tul ikani turs keli tefrake akne tʰemnar efai kʰur mini maf lautn tfakesi tʰemnar menke tʰemnar efai vot akne kʰur kene maf tfakesi lautn laukʰ aknearas laneale eisi tep plutin kinakʰe aknearasum lanes ein ame itani votku akne pesale lanʃai	99.52431091688173	4.709090909090909	5.454545454545454e-2	4.431818181818182e-2	0.528957528957529	1	0		0	0.6354166666666666	1
t͡ʂxu̯ar da t͡sxenen t͡ʂxu̯art mat mat’q’l mad q’u̯a t͡sxenen ʐina is mak’e borbor magu̯ar is maqurś is k’at͡ʂ adra maʐn tku̯a t͡ʂxu̯art t͡sxenen t͡s’q’n t͡ʃu̯em mk’erdt k’at͡ʂ mut͡s’q’s t͡sxenen mareq’ tku̯es t͡sxenent smen t͡ʂxu̯ar! t͡s’q’n t͡ʃu̯en mk’erdt mut͡s’q’s k’at͡ʂt upet t͡ʂxu̯arebis mat’q’lad tau̯ t’pil art͡ʂxel kamn da t͡ʂxu̯arent mat’q’l mad q’au̯en eg smil t͡ʂxu̯ar dabs u̯lt’a	99.48359236001379	4.875	0.4107142857142857	0.1561393152302243	0.673992673992674	1	0		0	0.37083333333333335	1
awiz exʷoːzux awiz soː wullõː ne xabdeː saxʷ exʷanz ainanõː kurjanõː wagnã teuxandũ ainanõːux mikilõː kuriθõː ainanõːux gumanũ sneumundoːː berandũ awiz nu exʷamaz sagdeː xertoːː sairiːθi mek sexʷandeː exʷanz akandũ gumanũ exʷoːz sagdeːdun gaxauziː awi xertoːː sairiːθi uns sexʷandumiz gumoːː fadiz uz awiːz wulloː wurkiːθi siz warmã wastijõː awizux wullõː ne xabaiθi θat xauzidaz awiz akrã flaux	99.45539836123498	4.982456140350878	3.508771929824561e-2	1.6917293233082706e-2	0.5598591549295775	1	0		0	0.5787037037037037	1
ʡiːlχu ɦɨt͡ʃʰwĭɑrgi ʡiːlχu kwi t͡ɬʰwɑːħnɨn ɦwɛ inɑ ɦɨt͡ʃʰwĭɑr ɑgwɑnɑ ʔi ɦɛ̆qˀwɑ hwɜːlkwɛːm ʔiːqɑr ʔi ɦɑ̆χɛ răχːɑm ʔi t͡ɕʰwĭjo ăχi ĭχːɛr ʡiːlχu ɦɨt͡ʃʰwĭɑr ʔiʔwinɑ jɛ̆rkˀwĭ zɑː ʔɑ̆t͡sˀʰɛ̆ hĭrkˀwɛ̆m ɑ̆mt͡sˀʰɛ̆r ɦɨt͡ʃʰwĭɑr ɑ̆rkˀɛ̆wr ɦɨt͡ʃʰwĭɑr ʔiʔwinɑ χĭqˀɛː ʡiːlχu jɛ̆rkˀwĭ ʒɑ ʔɑ̆t͡sˀʰɛ̆ ɑ̆mt͡sˀʰɛ̆r hĭrkˀwɛ̆ ʔɑːt͡ɬˀʰi ʡiːlχuɑr t͡ɬʰwɑːħnɨm t͡ʃʰu ɑːwʎwɛ̆r kˀyːt͡ʃʰwɨ̆m hŏqˀɛː ʡiːlχuɑrrɑ t͡ɬʰwɑːħnɨ ɦwɛ ɑ mɑ χĭqˀɛːsɛ ʡiːlχu qwɨ̆ʔrūdi ilqwɑːnɑ	99.39357824414833	5.2	0.18181818181818182	3.1385281385281384e-2	0.6048951048951049	1	0		0	0.4956140350877193	1
